ctmString,ctm,open,high,low,close,vol
"May 5, 2023, 1:15:00 AM",1683242100000,125788.0,41.0,-2.0,41.0,2782.0
"May 5, 2023, 1:30:00 AM",1683243000000,125829.0,10.0,-8.0,4.0,2685.0
"May 5, 2023, 1:45:00 AM",1683243900000,125835.0,3.0,-19.0,-13.0,3346.0
"May 5, 2023, 2:00:00 AM",1683244800000,125823.0,7.0,-56.0,-39.0,4262.0
"May 5, 2023, 2:15:00 AM",1683245700000,125785.0,7.0,-12.0,-4.0,4863.0
"May 5, 2023, 2:30:00 AM",1683246600000,125783.0,68.0,-20.0,68.0,4210.0
"May 5, 2023, 2:45:00 AM",1683247500000,125850.0,22.0,-16.0,-11.0,5876.0
"May 5, 2023, 3:00:00 AM",1683248400000,125840.0,80.0,0.0,77.0,6371.0
"May 5, 2023, 3:15:00 AM",1683249300000,125919.0,38.0,-18.0,4.0,6569.0
"May 5, 2023, 3:30:00 AM",1683250200000,125925.0,41.0,-6.0,13.0,6270.0
"May 5, 2023, 3:45:00 AM",1683251100000,125938.0,1.0,-52.0,-29.0,5943.0
"May 5, 2023, 4:00:00 AM",1683252000000,125907.0,10.0,-84.0,-58.0,6187.0
"May 5, 2023, 4:15:00 AM",1683252900000,125848.0,26.0,-13.0,-6.0,5490.0
"May 5, 2023, 4:30:00 AM",1683253800000,125842.0,10.0,-25.0,-10.0,5785.0
"May 5, 2023, 4:45:00 AM",1683254700000,125834.0,65.0,0.0,56.0,5456.0
"May 5, 2023, 5:00:00 AM",1683255600000,125889.0,80.0,0.0,76.0,4513.0
"May 5, 2023, 5:15:00 AM",1683256500000,125965.0,124.0,-28.0,114.0,4740.0
"May 5, 2023, 5:30:00 AM",1683257400000,126078.0,54.0,0.0,25.0,4898.0
"May 5, 2023, 5:45:00 AM",1683258300000,126104.0,30.0,-14.0,-11.0,6029.0
"May 5, 2023, 6:00:00 AM",1683259200000,126094.0,3.0,-20.0,-15.0,4238.0
"May 5, 2023, 6:15:00 AM",1683260100000,126082.0,6.0,-41.0,6.0,2647.0
"May 5, 2023, 6:30:00 AM",1683261000000,126089.0,19.0,-17.0,-2.0,2760.0
"May 5, 2023, 6:45:00 AM",1683261900000,126087.0,0.0,-31.0,-26.0,3688.0
"May 5, 2023, 7:00:00 AM",1683262800000,126062.0,45.0,-1.0,27.0,4148.0
"May 5, 2023, 7:15:00 AM",1683263700000,126091.0,4.0,-35.0,-25.0,3965.0
"May 5, 2023, 7:30:00 AM",1683264600000,126067.0,28.0,-46.0,-28.0,4617.0
"May 5, 2023, 7:45:00 AM",1683265500000,126039.0,10.0,-41.0,-28.0,6505.0
"May 5, 2023, 8:00:00 AM",1683266400000,126012.0,142.0,-46.0,112.0,7558.0
"May 5, 2023, 8:15:00 AM",1683267300000,126122.0,7.0,-65.0,-51.0,7308.0
"May 5, 2023, 8:30:00 AM",1683268200000,126070.0,209.0,-14.0,175.0,9633.0
"May 5, 2023, 8:45:00 AM",1683269100000,126243.0,93.0,-32.0,47.0,7998.0
"May 5, 2023, 9:00:00 AM",1683270000000,126285.0,21.0,-157.0,-145.0,9659.0
"May 5, 2023, 9:15:00 AM",1683270900000,126142.0,91.0,0.0,66.0,9154.0
"May 5, 2023, 9:30:00 AM",1683271800000,126208.0,37.0,-90.0,-53.0,9515.0
"May 5, 2023, 9:45:00 AM",1683272700000,126149.0,32.0,-82.0,-52.0,8232.0
"May 5, 2023, 10:00:00 AM",1683273600000,126099.0,1.0,-114.0,-73.0,8620.0
"May 5, 2023, 10:15:00 AM",1683274500000,126026.0,65.0,-26.0,41.0,7935.0
