ctmString,ctm,open,high,low,close,vol
"May 12, 2023, 7:30:00 PM",1683912600000,169072.0,44.0,-65.0,-61.0,1869.0
"May 12, 2023, 7:45:00 PM",1683913500000,169010.0,11.0,-87.0,-73.0,1845.0
"May 12, 2023, 8:00:00 PM",1683914400000,168934.0,3.0,-82.0,-64.0,1855.0
"May 12, 2023, 8:15:00 PM",1683915300000,168870.0,41.0,-23.0,18.0,1677.0
"May 12, 2023, 8:30:00 PM",1683916200000,168881.0,23.0,-31.0,9.0,1350.0
"May 12, 2023, 8:45:00 PM",1683917100000,168890.0,20.0,-20.0,12.0,1949.0
"May 12, 2023, 9:00:00 PM",1683918000000,168903.0,15.0,-24.0,-24.0,2036.0
"May 12, 2023, 9:15:00 PM",1683918900000,168878.0,52.0,-6.0,31.0,1549.0
"May 12, 2023, 9:30:00 PM",1683919800000,168912.0,46.0,0.0,14.0,1422.0
"May 12, 2023, 9:45:00 PM",1683920700000,168928.0,26.0,-16.0,25.0,2062.0
"May 14, 2023, 11:00:00 PM",1684098000000,168824.0,59.0,-57.0,46.0,180.0
"May 14, 2023, 11:15:00 PM",1684098900000,168879.0,41.0,0.0,36.0,62.0
"May 14, 2023, 11:30:00 PM",1684099800000,168935.0,0.0,-57.0,-53.0,145.0
"May 14, 2023, 11:45:00 PM",1684100700000,168881.0,58.0,-14.0,58.0,213.0
"May 15, 2023, 12:00:00 AM",1684101600000,168925.0,106.0,-19.0,80.0,2301.0
"May 15, 2023, 12:15:00 AM",1684102500000,169006.0,66.0,-9.0,19.0,5983.0
"May 15, 2023, 12:30:00 AM",1684103400000,169025.0,59.0,-3.0,22.0,5270.0
"May 15, 2023, 12:45:00 AM",1684104300000,169049.0,1.0,-41.0,-37.0,5381.0
"May 15, 2023, 1:00:00 AM",1684105200000,169012.0,4.0,-34.0,-6.0,12607.0
"May 15, 2023, 1:15:00 AM",1684106100000,169006.0,34.0,-27.0,-10.0,8686.0
"May 15, 2023, 1:30:00 AM",1684107000000,168999.0,139.0,-1.0,133.0,5276.0
"May 15, 2023, 1:45:00 AM",1684107900000,169132.0,8.0,-66.0,-22.0,4788.0
"May 15, 2023, 2:00:00 AM",1684108800000,169110.0,75.0,-69.0,11.0,9724.0
"May 15, 2023, 2:15:00 AM",1684109700000,169122.0,178.0,-6.0,163.0,8113.0
"May 15, 2023, 2:30:00 AM",1684110600000,169285.0,30.0,-71.0,-65.0,7252.0
"May 15, 2023, 2:45:00 AM",1684111500000,169218.0,60.0,-120.0,-58.0,9422.0
"May 15, 2023, 3:00:00 AM",1684112400000,169161.0,60.0,-53.0,-41.0,9728.0
"May 15, 2023, 3:15:00 AM",1684113300000,169121.0,108.0,-61.0,84.0,10566.0
